FinalName,FullName,Name,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,Score
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",SR,35.0,11.933
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,61.0,13.166
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,87.0,12.433
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,64.0,13.533
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,9.0,14.3
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,112.0,11.966
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,54.0,13.9
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-02-26,2023 Cottbus World Cup,final,"Cottbus, Germany",PH,1.0,14.866
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,4.0,14.8
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-03-04,2023 Doha World Cup,qual,"Doha, Qatar",PH,12.0,14.0
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-05-28,2023 Varna World Challenge Cup,qual,"Varna, Bulgaria",FX,11.0,12.8
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-05-28,2023 Varna World Challenge Cup,final,"Varna, Bulgaria",PH,2.0,14.5
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-05-28,2023 Varna World Challenge Cup,qual,"Varna, Bulgaria",PH,7.0,13.6
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,FX,27.0,13.1
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,HB,18.0,13.166
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,PB,12.0,13.8
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,final,Singapore,PH,8.0,12.9
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,PH,4.0,14.733
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,SR,41.0,11.8
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,48.0,13.7
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",HB,61.0,13.1
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,117.0,12.533
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,14.0,14.333
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",SR,111.0,12.366
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,92.0,13.833
aberdeen driscoll,aberdeen o driscoll,aberdeen o driscoll,w,BEL,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",FX,15.0,12.833
aberdeen driscoll,aberdeen o driscoll,aberdeen o driscoll,w,BEL,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,32.0,13.133
aberdeen odriscol,aberdeen odriscol,aberdeen odriscol,w,BEL,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",BB,40.0,10.1
aberdeen odriscol,aberdeen odriscol,aberdeen odriscol,w,BEL,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",FX,7.0,12.85
aberdeen odriscol,aberdeen odriscol,aberdeen odriscol,w,BEL,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",VT1,25.0,12.95
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2022-04-03,2022 Baku World Cup,qual,"Baku, Azerbaijan",HB,28.0,10.666
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2022-04-03,2022 Baku World Cup,qual,"Baku, Azerbaijan",PB,19.0,13.066
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2022-04-03,2022 Baku World Cup,qual,"Baku, Azerbaijan",PH,32.0,12.2
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2022-06-12,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",HB,23.0,11.25
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2022-06-12,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",PB,19.0,12.9
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2022-06-12,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",PH,22.0,11.65
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",HB,29.0,12.267
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",PB,28.0,13.333
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",PH,29.0,11.833
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,FX,46.0,11.5
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,HB,29.0,12.5
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,PB,29.0,12.833
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,PH,39.0,11.9
abhijeet kumar,abhijeet kumar,abhijeet kumar,m,IND,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,SR,39.0,12.1
abigail magistrati,abigail magistrati,abigail magistrati,w,ARG,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,81.0,11.233
abigail magistrati,abigail magistrati,abigail magistrati,w,ARG,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,81.0,11.233
abigail magistrati,abigail magistrati,abigail magistrati,w,ARG,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,67.0,12.133
abigail magistrati,abigail magistrati,abigail magistrati,w,ARG,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,67.0,12.133
abigail magistrati,abigail magistrati,abigail magistrati,w,ARG,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UB,79.0,11.533
abigail magistrati,abigail magistrati,abigail magistrati,w,ARG,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UB,79.0,11.533
abigail magistrati,abigail magistrati,abigail magistrati,w,ARG,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,63.0,13.366
abigail roper,abigail roper,abigail roper,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,22.0,11.35
abigail roper,abigail roper,abigail roper,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,34.0,11.6
abigail roper,abigail roper,abigail roper,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,32.0,10.85
abigail roper,abigail roper,abigail roper,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,33.0,12.65
abigail roper,abigail roper,abigail roper,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,17.0,11.7
abigail roper,abigail roper,abigail roper,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,19.0,11.55
abigail roper,abigail roper,abigail roper,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,32.0,10.6
abigail roper,abigail roper,abigail roper,w,GBR,2023-03-26,2023 British Gymnastics Championships,final,"Liverpool, England",VT1,7.0,12.95
abigail roper,abigail roper,abigail roper,w,GBR,2023-03-26,2023 British Gymnastics Championships,qual,"Liverpool, England",VT1,7.0,13.05
abiyurafi,abiyurafi,abiyurafi,m,INA,2023-03-04,2023 Doha World Cup,qual,"Doha, Qatar",HB,26.0,11.633
abiyurafi,abiyurafi,abiyurafi,m,INA,2023-03-04,2023 Doha World Cup,qual,"Doha, Qatar",PB,29.0,10.7
abiyurafi,abiyurafi,abiyurafi,m,INA,2023-03-04,2023 Doha World Cup,qual,"Doha, Qatar",PH,39.0,11.5
abu rafi,abu saeed rafi,abu saeed rafi,m,BAN,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,37.0,10.05
abu rafi,abu saeed rafi,abu saeed rafi,m,BAN,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PB,38.0,5.9
abu rafi,abu saeed rafi,abu saeed rafi,m,BAN,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PH,40.0,7.0
abu rafi,abu saeed rafi,abu saeed rafi,m,BAN,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",SR,37.0,3.0
abu rafi,abu saeed rafi,abu saeed rafi,m,BAN,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",VT2,16.0,12.45
abu rafi,abu saeed rafi,abu saeed rafi,m,BAN,2023-09-29,HANGZHOU 2022 19th Asian Games,qual,"Hangzhou, China",PH,39.0,4.6
achraf quistas,achraf quistas,achraf quistas,m,MAR,2022-03-20,2022 Cairo World Cup,qual,"Cairo, Egypt",FX,30.0,10.866
achraf quistas,achraf quistas,achraf quistas,m,MAR,2022-03-20,2022 Cairo World Cup,qual,"Cairo, Egypt",SR,22.0,9.766
achraf quistas,achraf quistas,achraf quistas,m,MAR,2022-03-20,2022 Cairo World Cup,qual,"Cairo, Egypt",VT1,9.0,13.833
achraf quistas,achraf quistas,achraf quistas,m,MAR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",FX,44.0,11.633
achraf quistas,achraf quistas,achraf quistas,m,MAR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",PB,45.0,9.866
achraf quistas,achraf quistas,achraf quistas,m,MAR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,60.0,9.066
achraf quistas,achraf quistas,achraf quistas,m,MAR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",VT1,29.0,13.733
ada hautala,ada hautala,ada hautala,w,FIN,2022-06-19,2022 Koper World Challenge Cup,qual,"Koper, Slovenia",BB,17.0,10.5
ada hautala,ada hautala,ada hautala,w,FIN,2022-06-19,2022 Koper World Challenge Cup,qual,"Koper, Slovenia",FX,10.0,11.7
ada hautala,ada hautala,ada hautala,w,FIN,2022-06-19,2022 Koper World Challenge Cup,qual,"Koper, Slovenia",UB,19.0,10.1
ada hautala,ada hautala,ada hautala,w,FIN,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",BB,102.0,9.7
ada hautala,ada hautala,ada hautala,w,FIN,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",FX,45.0,12.1
ada hautala,ada hautala,ada hautala,w,FIN,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",UB,34.0,12.633
ada hautala,ada hautala,ada hautala,w,FIN,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT1,52.0,12.733
ada hautala,ada hautala,ada hautala,w,FIN,2022-10-02,2022 Szombathely World Challenge Cup,qual,"Szombathely, Hungary",BB,4.0,12.5
ada hautala,ada hautala,ada hautala,w,FIN,2022-10-02,2022 Szombathely World Challenge Cup,final,"Szombathely, Hungary",BB,7.0,11.566
ada hautala,ada hautala,ada hautala,w,FIN,2022-10-02,2022 Szombathely World Challenge Cup,final,"Szombathely, Hungary",FX,4.0,12.766
ada hautala,ada hautala,ada hautala,w,FIN,2022-10-02,2022 Szombathely World Challenge Cup,qual,"Szombathely, Hungary",FX,7.0,12.266
ada hautala,ada hautala,ada hautala,w,FIN,2022-10-02,2022 Szombathely World Challenge Cup,qual,"Szombathely, Hungary",UB,17.0,9.6
ada hautala,ada hautala,ada hautala,w,FIN,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,74.0,11.566
ada hautala,ada hautala,ada hautala,w,FIN,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,37.0,12.9
ada hautala,ada hautala,ada hautala,w,FIN,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,67.0,12.5
ada hautala,ada hautala,ada hautala,w,FIN,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,83.0,12.733
ada hautala,ada hautala,ada hautala,w,FIN,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",BB,33.0,11.1
ada hautala,ada hautala,ada hautala,w,FIN,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",FX,14.0,12.366
ada hautala,ada hautala,ada hautala,w,FIN,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",UB,24.0,10.333
ada hautala,ada hautala,ada hautala,w,FIN,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",BB,87.0,10.133
ada hautala,ada hautala,ada hautala,w,FIN,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",FX,39.0,12.166
ada hautala,ada hautala,ada hautala,w,FIN,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",UB,37.0,12.633
ada hautala,ada hautala,ada hautala,w,FIN,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,58.0,12.833
ada hautala,ada hautala,ada hautala,w,FIN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,62.0,12.266
ada hautala,ada hautala,ada hautala,w,FIN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,101.0,11.966
ada hautala,ada hautala,ada hautala,w,FIN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,153.0,8.0
ada hautala,ada hautala,ada hautala,w,FIN,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,85.0,13.0
ada ogieglo,ada ogieglo,ada ogieglo,w,POL,2022-02-27,2022 Cottbus World Cup,qual,"Cottbus, Germany",FX,8.0,11.6
ada ogieglo,ada ogieglo,ada ogieglo,w,POL,2022-02-27,2022 Cottbus World Cup,final,"Cottbus, Germany",FX,5.0,11.733
ada ogieglo,ada ogieglo,ada ogieglo,w,POL,2022-04-03,2022 Baku World Cup,qual,"Baku, Azerbaijan",BB,33.0,9.166
ada ogieglo,ada ogieglo,ada ogieglo,w,POL,2022-04-03,2022 Baku World Cup,qual,"Baku, Azerbaijan",FX,21.0,11.0
ada ogieglo,ada ogieglo,ada ogieglo,w,POL,2022-10-02,2022 Szombathely World Challenge Cup,qual,"Szombathely, Hungary",BB,17.0,10.7
ada ogieglo,ada ogieglo,ada ogieglo,w,POL,2022-10-02,2022 Szombathely World Challenge Cup,qual,"Szombathely, Hungary",FX,12.0,10.933
adam dobrovitz,adam dobrovitz,adam dobrovitz,m,HUN,2022-06-12,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",HB,27.0,10.4
